Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
526,182,1400,21,0.35,2.66
2364,640,6730,28,0.27,2.85
302,89,820,15,0.29,2.72
3357,1256,9890,29,0.37,2.95
4534,1125,13360,31,0.25,2.95
1804,470,5140,31,0.26,2.85
228,66,560,15,0.29,2.46
4049,1172,11900,32,0.29,2.94
3460,868,10200,30,0.25,2.95
809,285,2110,30,0.35,2.61
4481,1182,13210,30,0.26,2.95
1824,594,5170,30,0.33,2.83
1900,507,5340,29,0.27,2.81
4390,1329,12930,31,0.30,2.95
1006,317,2650,30,0.32,2.63
2397,632,6820,28,0.26,2.85
1677,548,4800,30,0.33,2.86
2425,770,6890,29,0.32,2.84
2249,676,6400,30,0.30,2.85
4564,1282,13420,32,0.28,2.94
1379,447,3820,30,0.32,2.77
2736,757,7870,29,0.28,2.88
968,387,2570,30,0.40,2.65
4691,1611,13780,31,0.34,2.94
1443,407,4030,29,0.28,2.79
2623,1024,7540,30,0.39,2.87
433,161,1180,15,0.37,2.73
2365,893,6730,29,0.38,2.85
1373,449,3800,28,0.33,2.77
1976,569,5610,31,0.29,2.84
1314,499,3610,31,0.38,2.75
2555,717,7350,28,0.28,2.88
3496,903,10290,29,0.26,2.94
4534,1173,13360,31,0.26,2.95
4971,2447,14630,31,0.49,2.94
2584,721,7450,28,0.28,2.88
1855,1208,5240,30,0.65,2.82
4447,1402,13120,31,0.32,2.95
4057,1260,11900,32,0.31,2.93
2030,536,5740,30,0.26,2.83
4233,1585,12470,31,0.37,2.95
2874,1002,8260,30,0.35,2.87
3924,893,11550,31,0.23,2.94
4626,1048,13610,31,0.23,2.94
3429,793,10110,28,0.23,2.95
3104,983,9030,29,0.32,2.91
75,42,150,15,0.56,2.00
4107,1345,12050,31,0.33,2.93
962,788,2550,30,0.82,2.65
3714,814,10850,31,0.22,2.92
2713,618,7820,29,0.23,2.88
2814,731,8130,30,0.26,2.89
3953,912,11620,31,0.23,2.94
649,137,1690,21,0.21,2.60
1945,499,5490,31,0.26,2.82
608,220,1590,21,0.36,2.62
136,56,290,15,0.41,2.13
3338,759,9860,30,0.23,2.95
4384,1459,12920,32,0.33,2.95
2328,573,6620,30,0.25,2.84
4687,1355,13770,32,0.29,2.94
4708,1428,13860,32,0.30,2.94
356,140,970,15,0.39,2.72
628,341,1660,20,0.54,2.64
1150,424,3040,30,0.37,2.64
1926,546,5430,28,0.28,2.82
335,167,910,15,0.50,2.72
2310,593,6570,31,0.26,2.84
1652,785,4730,29,0.48,2.86
751,293,1920,30,0.39,2.56
610,167,1620,21,0.27,2.66
1625,358,4660,30,0.22,2.87
493,267,1310,22,0.54,2.66
296,114,810,16,0.39,2.74
990,378,2610,29,0.38,2.64
3315,830,9770,28,0.25,2.95
1489,397,4170,29,0.27,2.80
3101,796,9020,30,0.26,2.91
4311,1298,12740,30,0.30,2.96
1155,766,3060,28,0.66,2.65
204,62,500,15,0.30,2.45
4638,1497,13610,32,0.32,2.93
3360,801,9900,28,0.24,2.95
3556,914,10450,31,0.26,2.94
1606,504,4620,29,0.31,2.88
667,216,1710,21,0.32,2.56
3374,1187,9940,30,0.35,2.95
3896,1352,11450,32,0.35,2.94
2111,562,6000,30,0.27,2.84
4900,1294,14430,32,0.26,2.94
3608,1189,10580,32,0.33,2.93
594,277,1560,21,0.47,2.63
4665,1175,13700,32,0.25,2.94
1618,477,4650,26,0.29,2.87
3547,887,10390,32,0.25,2.93
4084,2060,12020,31,0.50,2.94
1799,526,5140,31,0.29,2.86
4299,1074,12710,32,0.25,2.96
2692,615,7720,27,0.23,2.87
1914,603,5390,29,0.32,2.82
803,191,2090,30,0.24,2.60
4013,1079,11790,32,0.27,2.94
1052,308,2740,29,0.29,2.60
