Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
1614,490,4650,31,0.30,2.88
4713,1262,13880,32,0.27,2.95
127,68,250,15,0.54,1.97
2586,1157,7460,31,0.45,2.88
2235,643,6350,29,0.29,2.84
1856,1041,5240,31,0.56,2.82
3752,1582,10960,32,0.42,2.92
130,63,260,15,0.48,2.00
2402,907,6820,31,0.38,2.84
1004,1048,2650,29,1.04,2.64
3029,984,8810,29,0.32,2.91
3844,1196,11220,32,0.31,2.92
3981,1228,11670,31,0.31,2.93
1421,450,3990,30,0.32,2.81
2986,2381,8680,30,0.80,2.91
713,294,1870,22,0.41,2.62
254,208,660,15,0.82,2.60
1205,679,3240,29,0.56,2.69
993,571,2630,30,0.58,2.65
3060,2320,8900,30,0.76,2.91
2160,759,6210,30,0.35,2.88
791,409,2050,30,0.52,2.59
1462,599,4100,31,0.41,2.80
4341,1387,12840,31,0.32,2.96
358,286,970,16,0.80,2.71
331,452,910,15,1.37,2.75
2328,871,6620,30,0.37,2.84
3161,1229,9200,30,0.39,2.91
386,251,1040,16,0.65,2.69
1794,1639,5080,31,0.91,2.83
328,317,910,15,0.97,2.77
3388,917,9990,30,0.27,2.95
2329,600,6620,40,0.26,2.84
3001,933,8700,31,0.31,2.90
3571,1125,10510,32,0.32,2.94
1939,629,5480,31,0.32,2.83
4834,1707,14250,31,0.35,2.95
4082,1618,12000,32,0.40,2.94
1420,721,3990,31,0.51,2.81
2895,874,8300,30,0.30,2.87
4272,1379,12600,31,0.32,2.95
2521,1716,7240,29,0.68,2.87
1015,428,2670,31,0.42,2.63
4418,1886,13050,32,0.43,2.95
882,645,2270,29,0.73,2.57
3268,1392,9590,29,0.43,2.93
321,324,890,15,1.01,2.77
2411,796,6860,30,0.33,2.85
3260,1048,9530,30,0.32,2.92
863,289,2200,30,0.33,2.55
767,591,1950,30,0.77,2.54
1671,636,4790,29,0.38,2.87
16,18,50,7,1.13,3.13
1563,951,4450,31,0.61,2.85
4963,1854,14620,33,0.37,2.95
73,56,140,16,0.77,1.92
2530,925,7270,29,0.37,2.87
1143,417,3000,30,0.36,2.62
4456,1386,13130,32,0.31,2.95
644,389,1690,20,0.60,2.62
1194,445,3190,30,0.37,2.67
4457,1467,13130,32,0.33,2.95
3790,1253,11100,31,0.33,2.93
3506,1122,10290,29,0.32,2.93
505,377,1320,22,0.75,2.61
1891,1086,5340,29,0.57,2.82
1748,721,5000,31,0.41,2.86
3484,1261,10250,31,0.36,2.94
1786,827,5070,30,0.46,2.84
1122,547,2930,31,0.49,2.61
2227,825,6340,29,0.37,2.85
4023,1332,11800,32,0.33,2.93
1749,711,5010,30,0.41,2.86
150,69,290,15,0.46,1.93
3213,1006,9360,30,0.31,2.91
1733,447,4950,30,0.26,2.86
2793,1161,8080,31,0.42,2.89
845,423,2190,30,0.50,2.59
1333,454,3660,30,0.34,2.75
1323,583,3640,29,0.44,2.75
92,130,170,15,1.41,1.85
166,120,370,13,0.72,2.23
3149,985,9180,30,0.31,2.92
2204,956,6290,30,0.43,2.85
3158,796,9200,30,0.25,2.91
230,214,560,16,0.93,2.43
3235,986,9450,30,0.30,2.92
458,335,1230,22,0.73,2.69
2048,1491,5780,31,0.73,2.82
4123,1660,12110,32,0.40,2.94
2183,770,6270,30,0.35,2.87
4254,1500,12540,32,0.35,2.95
1654,404,4740,30,0.24,2.87
2133,878,6120,31,0.41,2.87
982,361,2580,29,0.37,2.63
4245,1238,12510,32,0.29,2.95
3909,1169,11510,33,0.30,2.94
634,405,1670,21,0.64,2.63
3009,1514,8710,30,0.50,2.89
3028,1308,8790,29,0.43,2.90
2250,817,6400,31,0.36,2.84
1297,796,3590,30,0.61,2.77
3104,1043,9030,30,0.34,2.91
4741,2526,13970,33,0.53,2.95
158,52,320,16,0.33,2.03
2974,832,8650,29,0.28,2.91
2985,863,8680,30,0.29,2.91
4591,1794,13510,31,0.39,2.94
1476,554,4130,31,0.38,2.80
4533,1436,13350,32,0.32,2.95
713,390,1870,21,0.55,2.62
4873,1761,14320,33,0.36,2.94
3893,2013,11440,32,0.52,2.94
1114,437,2890,29,0.39,2.59
1284,558,3580,30,0.43,2.79
1221,617,3340,31,0.51,2.74
4304,1382,12720,32,0.32,2.96
683,453,1780,21,0.66,2.61
1334,615,3670,29,0.46,2.75
3007,1111,8710,30,0.37,2.90
1927,704,5440,30,0.37,2.82
928,525,2410,31,0.57,2.60
3983,1457,11670,31,0.37,2.93
25,29,70,7,1.16,2.80
2097,912,5930,30,0.43,2.83
159,115,330,16,0.72,2.08
3946,1246,11610,32,0.32,2.94
2771,1492,7990,30,0.54,2.88
1592,504,4560,30,0.32,2.86
936,482,2420,36,0.51,2.59
1096,484,2860,29,0.44,2.61
4647,1549,13610,33,0.33,2.93
2297,802,6550,28,0.35,2.85
2651,1075,7650,30,0.41,2.89
1516,932,4270,31,0.61,2.82
612,494,1640,22,0.81,2.68
592,348,1560,21,0.59,2.64
